city,lat,temp,humidity,cloudiness,wind_speed
guiratinga,-16.35,300.3,50,38,0.97
san cristobal,14.68,293.8,89,100,1.14
diapaga,12.07,297.3,81,0,2.36
juneau,58.3,284.15,93,75,2.6
wairoa,-39.04,287.04,68,0,2.68
guajara,-0.88,298.15,83,0,4.1
pisek,48.31,286.46,93,75,6.2
ico,-13.77,281.1,87,70,2.26
soyo,-6.13,296.8,81,81,3.45
nanga eboko,4.68,292.9,99,99,0.97
kagoro,9.6,293.4,94,51,0.46
grootfontein,-19.56,284.9,41,0,1.92
manicore,-5.81,302.7,42,71,1.18
adre,13.47,296.8,78,89,1.31
dicabisagan,17.08,300.4,79,96,0.37
namatanai,-3.66,300.5,74,54,1.45
pastavy,55.11,282.3,89,100,6.52
sorland,67.67,280.7,61,42,6.06
griffith,-34.29,291.62,31,0,6.2
matara,-3.48,284.6,73,79,0.62
palana,59.08,280.8,78,100,8.23
takoradi,4.89,295.7,98,19,1.69
calamar,1.96,294.2,98,21,0.95
boljevac,43.83,277.15,43,0,1.0
christchurch,-43.53,285.1,81,2,6.2
hovd,63.83,283.29,93,90,2.6
bud,62.91,280.94,100,0,3.1
bilibino,68.06,269.0,83,100,1.47
caninde de sao francisco,-9.66,293.0,92,12,2.79
alyangula,-13.85,303.15,48,24,5.1
hukuntsi,-23.98,286.2,43,0,4.56
mayo,63.59,285.15,62,90,3.6
the valley,18.22,301.9,79,20,4.6
lopsmarka,67.31,272.74,61,0,3.6
barra do garcas,-15.89,305.15,40,0,1.0
mitu,36.2,282.9,48,0,1.58
